,ID,station,line,operator,type_sym,type,interchange,agr_area,Com_area,Indu_area,Ins_area,Mil_area,Recre_area,Resi_area,Tran_area,Under_area,Util_area,Water_area,Wood_area,nomx_area,Mix_area,com_lgret_ar,com_mx_ar,edu_ar,pkin_tran_ar,pkin_und_ar,resi_mx_ar,resi_multi_ar,resi_sigle_ar,under_gen_ar,under_trsit_ar,geometry,
49,49,Broadway,PATCO,PATCO,PATCO,Transit_Rail,1,5149.836797,250329.6745,50933.4286,482215.0885,0,85826.8044,421776.3845,205903.4112,126235.8401,11525.05252,0,0,1583593.759,56301.7617,0,42924.94595,135517.6339,28922.58508,0,11424.55646,364246.679,471.2526662,92039.32802,34196.51213,c(-75.1198274263474, 39.9431120837317)
50,50,Cooper Street/Rutgers University,RiverLine,NJ Transit,NJT_Riverline,Light_Rail,,0,216633.0376,57255.16635,433813.7343,0,243208.773,302628.3535,78669.5384,145276.7797,17562.98049,0,0,1441477.674,53570.68957,0,30066.47391,129937.0558,21267.65619,57930.59377,11424.55646,236184.021,0,66734.18055,20612.00538,c(-75.1247364842694, 39.9476530479607)
51,51,Collingdale,Route 102 Trolley,SEPTA,Trolley,Trolley,,0,414577.7234,52898.70262,256717.9002,0,30814.11714,915417.4359,624389.1591,6883.877553,28086.1009,0,27847.56935,2344039.105,13593.48117,0,13593.48117,23490.95385,0,2052.331102,0,593335.2501,313523.6523,4831.546451,0,c(-75.2809518427899, 39.9103448188627)
52,52,Paper Mill Road,Route 101 Trolley,SEPTA,Trolley,Trolley,,0,216653.411,0,7018.552202,0,536905.7834,409189.1896,43635.12767,13006.49691,0,27309.82031,1006509.419,2260227.8,0,0,0,4615.7025,0,0,0,90712.88902,316157.6744,10683.01822,0,c(-75.3579014970943, 39.9153697519158)
53,53,Wynnefield Avenue,Cynwyd Line,SEPTA,SEPTA_RR,Regional_Rail,,0,19154.06292,1300.846007,78597.62168,0,975454.3587,860847.925,2002819.163,2279.019896,17045.01715,4886.802591,24048.14393,3982898.857,3534.104396,0,2470.33956,17355.01363,0,0,0,420232.2974,429676.492,2279.019896,0,c(-75.2256715258181, 39.9901518656402)
54,54,49th Street,Media/Elwyn Line,SEPTA,SEPTA_RR,Regional_Rail,,5679.445893,132999.121,62623.69189,110249.2774,0,90774.74365,1069120.897,1914893.629,37709.87527,6556.654392,0,0,3390024.844,40582.49135,0,38664.95988,22574.28488,0,0,0,1064572.918,0,37709.87527,0,c(-75.2164938704914, 39.9436249353026)
55,55,Daylesford,Paoli/Thorndale Line,SEPTA,SEPTA_RR,Regional_Rail,,0,147548.7489,0,96301.54981,0,26984.92811,1376000.896,66208.7546,7701.322432,0,0,84340.31012,1805086.51,0,0,0,3087.59377,4464.094036,0,0,52005.73067,1318411.775,0,5394.450735,c(-75.4606083275172, 40.0429468780979)
56,56,Torresdale,Trenton Line,SEPTA,SEPTA_RR,Regional_Rail,,0,35651.99423,40214.316,257903.2516,0,374568.0152,826792.1059,138003.0557,11405.06655,0,23299.91314,195166.2954,1900618.688,2385.325552,0,2379.267162,118382.3704,13357.02084,0,0,410387.1436,347853.8541,11405.06655,0,c(-74.9844980943116, 40.0544313252711)
57,57,Marcus Hook,Wilmington/Newark Line,SEPTA,SEPTA_RR,Regional_Rail,,0,130921.9894,916751.2669,82350.14069,0,93773.62934,488508.6719,197308.8261,134414.8834,7846.22282,7410.038642,43175.61614,2095025.385,7435.900688,0,7435.900688,18517.73472,6150.177205,2288.207383,0,342937.2148,143312.0254,132126.676,0,c(-75.4196013004024, 39.8216251341399)
58,58,Wister,Chestnut Hill East Line,SEPTA,SEPTA_RR,Regional_Rail,,3772.180238,114851.2841,39739.8237,348521.856,0,111580.1546,820362.5949,10827.62439,56840.9715,9766.366605,0,297851.5175,1783142.865,30971.50801,0,30971.50801,228234.4253,3076.107792,665.8822731,0,659956.4319,135384.3384,45064.47928,11110.60994,c(-75.1615084335181, 40.0361871516796)
