"","ID","station","line","operator","type_sym","type","com_lgret_ar","com_mx_ar","edu_ar","pkin_tran_ar","pkin_und_ar","resi_mx_ar","resi_multi_ar","resi_sigle_ar","under_gen_ar","under_trsit_ar","Wood_ar","Agri_ar","geometry","potential"
"202",202,"Beechwood-Brookline","Norristown High Speed Line","SEPTA","NHSL","Light_Rail",0,0,2623.35566927713,0,0,0,36595.4570769457,1324379.09219345,1264.64571864317,0,254231.394142623,0,c(-75.2916180631025, 39.9865975739505),255496.039861267
"203",203,"Bryn Mawr","Norristown High Speed Line","SEPTA","NHSL","Light_Rail",0,15240.3535590212,110425.824580726,9518.1523907425,0,0,404949.015301118,778710.61696754,10541.4222002325,8444.14519874294,10367.1902466561,0,c(-75.3233467822585, 40.0179974728811),29352.7576456316
"204",204,"Garretford","Route 102 Trolley","SEPTA","Trolley","Trolley",0,12977.3740086269,19115.1718421286,0,0,0,553253.034095404,992935.341984294,2047.13785851044,0,0,0,c(-75.2958784130465, 39.9441116601262),2047.13785851044
"205",205,"Wallingford","Media/Elwyn Line","SEPTA","SEPTA_RR","Regional_Rail",0,0,40468.0542570134,1036.64342568863,0,0,7591.09240356354,1477084.72003139,0,0,177154.422186464,0,c(-75.371604872957, 39.903748040518),177154.422186464
"206",206,"Lansdowne Avenue","Route 101 & 102 Trolley Lines","SEPTA","Trolley","Trolley",0,6836.90038528006,84021.1911286027,0,0,0,183091.311283494,925585.90829069,2565.2165720811,0,135775.231888969,0,c(-75.2825217351093, 39.9516194909756),138340.44846105
"207",207,"Strafford","Paoli/Thorndale Line","SEPTA","SEPTA_RR","Regional_Rail",0,0,32737.6224480729,7321.87148705594,0,0,127760.523636088,1146510.69759333,20879.1197613577,0,3621.38385075904,0,c(-75.4037376309935, 40.0497124892663),24500.5036121168
"208",208,"Airport Terminal B","Airport Line","SEPTA","SEPTA_RR","Regional_Rail",0,0,0,0,0,0,0,0,278418.828522021,0,0,0,c(-75.244642626708, 39.8764224303288),278418.828522021
"209",209,"Scenic Road","Route 101 Trolley","SEPTA","Trolley","Trolley",0,0,21081.5268283646,2271.22747835077,1598.12384870665,0,40004.0039362202,1002792.23091491,19992.0938627371,2098.44558909175,457316.803615852,0,c(-75.3259511989564, 39.9408229835196),479407.34306768
"210",210,"Lindenwold","Atlantic City Line","NJ Transit","NJT_Atlantic","Regional_Rail",0,1388.38917677122,41022.2107801892,117644.806200775,0,0,17392.2838669684,625240.883129857,80665.1381949767,3475.52983961173,163993.668290934,0,c(-75.0005070939718, 39.8338429471326),248134.336325523
"211",211,"Aronimink","Route 101 Trolley","SEPTA","Trolley","Trolley",0,6459.22938561684,2170.81048223054,0,0,0,408175.291980285,1140740.39179561,10561.3350105407,0,11876.2696614887,0,c(-75.3060979923344, 39.9492715760739),22437.6046720294
"212",212,"Ridley Park","Wilmington/Newark Line","SEPTA","SEPTA_RR","Regional_Rail",21171.109380855,3583.65406039538,52753.5399573617,0,656.459093406081,0,253197.725210144,907020.693785612,19105.9308768104,0,144678.462466423,0,c(-75.3219289181663, 39.8806229863989),163784.393343234
"213",213,"Leamy Avenue","Route 101 Trolley","SEPTA","Trolley","Trolley",0,0,69475.6489845687,0,0,0,142324.678514951,1280955.33232162,0,0,202972.788246553,0,c(-75.3373095628468, 39.9262766674827),202972.788246553
"214",214,"Crum Lynne","Wilmington/Newark Line","SEPTA","SEPTA_RR","Regional_Rail",0,0,28918.6755220702,411.663301568008,0,0,278841.17487876,504847.30851107,108488.046707174,0,216433.834402417,0,c(-75.3309607991008, 39.8718702687561),324921.88110959
"215",215,"Springfield Road","Route 101 Trolley","SEPTA","Trolley","Trolley",0,0,21081.5268283646,3379.63179656188,0,0,44113.8376255484,1302437.32875156,0,2098.44558909175,271438.512916363,0,c(-75.329552395221, 39.9344883759268),273536.958505455
"216",216,"Marshall Road","Route 102 Trolley","SEPTA","Trolley","Trolley",0,12977.3740086269,11545.9591134922,0,0,0,750968.526980789,537678.518569893,2047.13785851044,0,264122.139082526,0,c(-75.2965024704956, 39.9402160542005),266169.276941037
"217",217,"Fairmount","Broad Street Line","SEPTA","BSL","Transit_Rail",0,40008.1169412296,141463.006716712,0,4220.99746049839,2868.40893472037,782105.716550187,0,111940.592848494,1694.96168608053,0,11945.8903493071,c(-75.1604148441801, 39.9670262278631),125581.444883881
"218",218,"Millbourne","Market/Frankford Line","SEPTA","MFL","Transit_Rail",0,19877.1435176465,20106.7964736449,6419.27902895484,0,0,577525.880704848,15562.375305682,84231.5416608633,2995.27988971883,469296.336477655,7435.05509121679,c(-75.2525542520918, 39.964463253446),563958.213119454
"219",219,"13th Street","Market/Frankford Line","SEPTA","MFL","Transit_Rail",0,152262.117649021,90948.2471536473,497.313882228068,0,29644.7733135887,201585.196406361,0,9390.54404380239,17481.1065282139,0,0,c(-75.1614364590705, 39.9521240667232),26871.6505720163
"220",220,"Spring Garden","Market/Frankford Line","SEPTA","MFL","Transit_Rail",0,70885.8111755566,6902.32705822071,0,11530.9368222119,18278.5123745287,307183.980334357,0,107530.964820734,33623.9894265294,0,1456.49003288966,c(-75.1403967271295, 39.9605421360047),142611.444280153
"221",221,"11th Street","Market/Frankford Line","SEPTA","MFL","Transit_Rail",0,139979.401060839,57393.3684467848,497.313882228068,0,26940.9558138747,222881.695777183,0,7694.5607295667,17481.1065282139,0,0,c(-75.1582579545831, 39.9516415186906),25175.6672577806
"222",222,"Radnor","Norristown High Speed Line","SEPTA","NHSL","Light_Rail",0,0,75253.5444681884,4749.23397838445,0,0,0,450726.806671104,12947.0308433156,12776.9995770566,356165.531018227,0,c(-75.3535872177084, 40.0420103971746),381889.561438599
"223",223,"56th Street","Market/Frankford Line","SEPTA","MFL","Transit_Rail",0,66097.3767016079,45148.2203336079,0,1738.27648205419,0,1135533.50729359,0,17709.5601994864,0,0,3892.42742801357,c(-75.2327992009275, 39.9609897258152),21601.9876274999
"224",224,"Matsonford","Norristown High Speed Line","SEPTA","NHSL","Light_Rail",0,0,0,598.194012157215,0,0,53066.6575343363,1344501.33145424,26453.4692459212,0,181169.885306169,0,c(-75.3394722031432, 40.058072010674),207623.35455209
"225",225,"Olney Transportation Center","Broad Street Line","SEPTA","BSL","Transit_Rail",0,17053.1030163091,154327.634967319,17812.6139952091,0,0,728484.36620261,2571.01494194942,6188.30219918257,0,80146.4727308605,0,c(-75.1446820691255, 40.0390696949201),86334.7749300431
"226",226,"Girard","Market/Frankford Line","SEPTA","MFL","Transit_Rail",0,75485.0203070981,24112.83519055,0,10760.7033439434,14840.9437478927,649217.106695362,0,147710.004303621,65784.7934041589,0,2784.28590875074,c(-75.1362020814203, 39.9689228299422),216279.08361653
"227",227,"Tasker-Morris","Broad Street Line","SEPTA","BSL","Transit_Rail",0,85665.2958428518,51585.0215119226,0,0,0,1306381.57326697,0,2321.36535767645,11418.7509820437,0,0,c(-75.1685064838876, 39.9298565886126),13740.1163397201
"228",228,"Oregon","Broad Street Line","SEPTA","BSL","Transit_Rail",0,26679.4375137161,57298.5485546819,3025.29674699721,3289.31701746602,0,1035608.98982003,0,14357.897491434,0,0,0,c(-75.1710884800964, 39.9168050098048),14357.897491434
"229",229,"Logan","Broad Street Line","SEPTA","BSL","Transit_Rail",0,36403.6367760913,121524.718993611,0,0,0,893237.745138678,0,48260.8026709678,0,93749.9962036613,0,c(-75.1466853562853, 40.0299127028296),142010.798874629
"230",230,"Girard","Broad Street Line","SEPTA","BSL","Transit_Rail",0,25125.8229872817,134500.437196595,0,602.471890670558,0,915199.148519166,0,95360.4186820086,9260.0293406336,0,4007.82256935297,c(-75.1594456739691, 39.9714654912205),108628.270591995
"231",231,"8th","Broad Street Line","SEPTA","BSL","Transit_Rail",0,180425.140137531,56055.1460889368,9540.79001001913,1150.29118496028,26235.5764598895,254534.701060056,0,8536.87621033499,20137.0916097299,0,0,c(-75.1535613845338, 39.9510487420268),28673.9678200649
"232",232,"Philmont","West Trenton Line","SEPTA","SEPTA_RR","Regional_Rail",0,0,0,16554.6100077646,0,0,126984.589230015,320984.504614767,179055.404769056,0,108245.25891108,89452.8602746766,c(-75.0437958173337, 40.121908383976),376753.523954812
"233",233,"30th Street","Market/Frankford Line","SEPTA","MFL","Transit_Rail",0,18131.6159943198,328429.604925641,32101.1167153272,2803.0592449827,3431.51245544771,239962.868979913,0,11563.827773258,19170.2875366316,0,6389.10289964241,c(-75.1832769992402, 39.9548369992244),37123.2182095321
"234",234,"Cecil B. Moore","Broad Street Line","SEPTA","BSL","Transit_Rail",0,17476.3655342689,414203.743855396,0,0,0,759801.26166231,0,78738.5872502441,11591.4874175766,0,937.085551480906,c(-75.1578662770471, 39.9787107904978),91267.1602193016
"235",235,"North Broad","SEPTA Main Line","SEPTA","SEPTA_RR","Regional_Rail",0,36467.1498338402,28905.8861703165,12254.9600656645,1518.06673843067,0,871782.544787646,0,132067.386779168,10039.7431295952,14727.174845961,24601.5150180204,c(-75.1539195070815, 39.9922512082508),181435.819772744
"236",236,"Parkview","Norristown High Speed Line","SEPTA","NHSL","Light_Rail",0,8254.74598155338,10712.3148287318,0,0,0,392137.695253521,174457.850421508,0,0,333704.527802561,0,c(-75.2742178764053, 39.9686925878937),333704.527802561
"237",237,"8th & Market Street","PATCO","PATCO","PATCO","Transit_Rail",0,180425.140137531,56055.1460889368,9540.79001001913,1150.29118496028,26235.5764598895,254534.701060056,0,8536.87621033499,20137.0916097299,0,0,c(-75.1535613845338, 39.9510487420268),28673.9678200649
"238",238,"Allegheny","Broad Street Line","SEPTA","BSL","Transit_Rail",0,12722.8580043806,75175.9286248877,12254.9600656645,0,0,739463.406938861,0,150887.153500387,26586.787321606,35079.6286443147,2618.12251155953,c(-75.1528737808592, 40.0015994776762),215171.691977867
"239",239,"Roberts Road","Norristown High Speed Line","SEPTA","NHSL","Light_Rail",0,7307.36103384351,110425.824580726,11223.7846422775,0,0,477257.008106295,556576.199818014,8075.45973037668,10651.2723654087,41623.1760764863,0,c(-75.3302926489261, 40.0214259573014),60349.9081722717
"240",240,"52nd Street","Market/Frankford Line","SEPTA","MFL","Transit_Rail",0,59678.7858083579,31239.3884869937,0,872.58194234675,0,1114179.4322738,0,22205.7219179043,0,0,3892.42742801357,c(-75.2248799190994, 39.95999745583),26098.1493459179
"241",241,"Avon Road","Route 101 & 102 Trolley Lines","SEPTA","Trolley","Trolley",0,52749.682625595,26409.2664341381,0,0,0,775745.193720031,360650.224952617,1914.15861956901,0,4985.20059774337,0,c(-75.2690710142255, 39.9577000818777),6899.35921731238
"242",242,"Erie-Torresdale","Market/Frankford Line","SEPTA","MFL","Transit_Rail",0,12111.395102473,36848.8298291221,1268.38773422113,0,0,545429.513766577,1351.37872181754,52255.5305747387,0,63052.7604729092,0,c(-75.0961641093495, 40.0059457411178),115308.291047648
"243",243,"Crestmont","Warminster Line","SEPTA","SEPTA_RR","Regional_Rail",0,30781.2122309691,16730.4511752721,834.553481069041,0,0,98059.8023278682,1000813.54283569,21149.3164423026,1556.77637276977,28095.2414358595,0,c(-75.1186490101792, 40.1332725132275),50801.3342509319
"244",244,"Cornwells Heights","Trenton Line","SEPTA","SEPTA_RR","Regional_Rail",0,0,8181.6042230324,72538.4479130404,0,0,23166.6540688574,543438.592892444,22344.6591579346,0,449339.494227356,0,c(-74.9522446941576, 40.0717791689612),471684.15338529
"245",245,"Delaware Valley College","Lansdale/Doylestown Line","SEPTA","SEPTA_RR","Regional_Rail",0,0,218751.769239482,0,0,0,0,228374.688312308,10393.886114781,0,443216.025776167,603164.326614511,c(-75.1617899251528, 40.2972372197893),1056774.23850546
"246",246,"Trevose","West Trenton Line","SEPTA","SEPTA_RR","Regional_Rail",0,0,0,14127.595664898,0,0,60541.5662042432,809459.614229565,94092.9207130987,30694.6384105963,49843.2424431314,4570.42625926651,c(-74.9827546084143, 40.1401402797521),179201.227826093
"247",247,"Fairfield Avenue","Route 101 & 102 Trolley Lines","SEPTA","Trolley","Trolley",0,47757.9060438622,9756.02701335606,12074.0202173121,0,0,721501.613941416,157231.488596674,0,2995.27988971883,22895.4075913716,0,c(-75.2637851737656, 39.9607435286887),25890.6874810905
"248",248,"Olive Street","Route 101 Trolley","SEPTA","Trolley","Trolley",0,32268.3265458104,17744.6428559876,8705.1061758122,0,0,460201.12557237,372955.69536295,10556.5803396062,5365.3988129955,245187.736721265,0,c(-75.391081301178, 39.9181529933876),261109.715873867
"249",249,"Airport Terminal A","Airport Line","SEPTA","SEPTA_RR","Regional_Rail",0,0,0,0,0,0,0,0,338685.946041156,0,0,0,c(-75.2467339513606, 39.8760036835285),338685.946041156
"250",250,"Roebling","RiverLine","NJ Transit","NJT_Riverline","Light_Rail",0,4122.74986800055,0,9720.9768332545,0,0,206628.576747556,195902.690410253,626941.060108135,0,147870.564315216,0,c(-74.77025522906, 40.1169428151959),774811.624423352
"251",251,"Aquarium","RiverLine","NJ Transit","NJT_Riverline","Light_Rail",0,26635.3154372123,96269.1659196002,0,9163.34115456577,11424.5564604125,99663.3390435629,0,43358.3563212313,19095.0944523952,0,0,c(-75.1287356012117, 39.9456365069255),62453.4507736265
"252",252,"Malvern","Paoli/Thorndale Line","SEPTA","SEPTA_RR","Regional_Rail",0,18492.5682454407,7559.40448905903,9505.59556685084,0,0,43500.7995031263,751261.335154016,0,0,305870.38889181,53146.0436103663,c(-75.5155792213682, 40.036445032422),359016.432502176
"253",253,"Pennsauken Transit Center","RiverLine","NJ Transit","NJT_Riverline","Light_Rail",0,1643.77086020844,16232.2901302995,12141.4279961973,0,0,7838.83160000734,338832.751502029,104732.92180933,0,254115.000286615,0,c(-75.0619962374898, 39.9782883405565),358847.922095945
"254",254,"Woodland Avenue","Route 101 Trolley","SEPTA","Trolley","Trolley",0,0,69475.6489845687,0,0,0,132571.463644129,1162961.06476344,0,0,228803.210857185,0,c(-75.3396367700099, 39.9247618054195),228803.210857185
"255",255,"Chester Transportation Center","Wilmington/Newark Line","SEPTA","SEPTA_RR","Regional_Rail",0,8444.32382791673,79530.4451094511,500.949243307928,6222.11007961761,0,269935.270748445,5880.49777865055,244166.103939071,0,115675.749846893,0,c(-75.3600691253818, 39.8494803252901),359841.853785964
"256",256,"Haddonfield","PATCO","PATCO","PATCO","Transit_Rail",0,31451.664801537,29088.2844786556,30925.4471933158,0,0,45659.4360833288,1110319.87900126,4386.00678735775,0,0,0,c(-75.0368451673264, 39.8973987744235),4386.00678735775
"257",257,"Wayne Junction","SEPTA Main Line","SEPTA","SEPTA_RR","Regional_Rail",0,29053.7673868345,24016.6535634007,26328.469128971,0,0,767949.225173089,0,73658.9351980667,0,53413.8930568617,777.447013866836,c(-75.160041730331, 40.0225080863398),127850.275268795
"258",258,"Moylan-Rose Valley","Media/Elwyn Line","SEPTA","SEPTA_RR","Regional_Rail",0,0,37227.6576629835,5100.43562205352,0,0,56815.8423476713,1660635.83244236,1190.85400408896,3948.14000612293,199491.927039499,0,c(-75.3881017012077, 39.9058510100631),204630.921049711
"259",259,"Tacony","Trenton Line","SEPTA","SEPTA_RR","Regional_Rail",0,26079.5705945215,76046.768909521,0,0,0,600725.830829572,6551.89168585409,83940.5406162744,18154.0523880883,0,0,c(-75.0390238875823, 40.0232259252203),102094.593004363
"260",260,"Suburban Station","SEPTA Main Line","SEPTA","SEPTA_RR","Regional_Rail",0,89302.4370965252,55906.4526439022,0,0,15881.7504547035,198559.064405083,0,27285.1949357691,32519.2325668004,0,0,c(-75.1673386259594, 39.9541969942111),59804.4275025696
"261",261,"Drexel Park","Route 101 & 102 Trolley Lines","SEPTA","Trolley","Trolley",0,6836.90038528006,89419.5933750086,0,0,0,229848.933437707,1025243.61491668,692.977757040455,0,0,0,c(-75.2870198619003, 39.9497399029942),692.977757040455
"262",262,"Whitford","Paoli/Thorndale Line","SEPTA","SEPTA_RR","Regional_Rail",0,0,0,13381.3575738987,0,0,70838.1884419323,558394.121185534,46089.8675526661,112035.838615904,841208.050090237,0,c(-75.6384404328054, 40.014712368359),999333.756258807
"263",263,"Fernwood-Yeadon","Media/Elwyn Line","SEPTA","SEPTA_RR","Regional_Rail",0,19999.7945924204,19289.48616964,0,0,0,363023.813470654,313397.371670429,7244.81856301174,6953.35053960421,19135.9891809983,0,c(-75.2558295197312, 39.9397224508523),33334.1582836143
"264",264,"Ivy Ridge","Manayunk/Norristown Line","SEPTA","SEPTA_RR","Regional_Rail",0,950.799824019471,4904.03934903261,13577.1053995892,0,0,320899.592546138,295079.552997458,9667.11266396293,4651.88794298451,531075.348626998,0,c(-75.2355024766076, 40.0341328382001),545394.349233945
"265",265,"Stenton","Chestnut Hill East Line","SEPTA","SEPTA_RR","Regional_Rail",0,3705.04690092815,7643.48568558586,4903.42213991073,0,0,1173175.46851305,323239.771420572,3799.84660991345,0,27394.6104681426,0,c(-75.1788073916847, 40.0605440955123),31194.4570780561
"266",266,"Cinnaminson","RiverLine","NJ Transit","NJT_Riverline","Light_Rail",0,0,0,9879.49729187878,0,0,159099.654590119,337076.677365029,272480.460665137,21890.6089612419,258968.888083555,299614.696242705,c(-74.9999751422095, 40.0166172078448),852954.65395264
"267",267,"Orange Street","Route 101 Trolley","SEPTA","Trolley","Trolley",0,32268.3265458104,17744.6428559876,8705.1061758122,0,0,399128.6679972,334766.670764168,1988.62000175808,5365.3988129955,334406.022472731,0,c(-75.3930102750949, 39.9184205318377),341760.041287484
"268",268,"36th Street","RiverLine","NJ Transit","NJT_Riverline","Light_Rail",0,3171.66152938574,27018.037285605,18053.0763135401,0,0,182530.466397695,794427.658678327,178307.161577671,0,194994.625622527,0,c(-75.0791579581001, 39.9613016050308),373301.787200198
"269",269,"Highland","Chestnut Hill West Line","SEPTA","SEPTA_RR","Regional_Rail",0,33635.6991664052,11065.8850618091,9158.3960651191,0,3729.58356836896,204618.296437869,1039273.90082879,21444.4175128476,18846.9253527696,921476.981154321,0,c(-75.2111044654791, 40.0703058786001),961768.324019938
"270",270,"Providence Road","Route 102 Trolley","SEPTA","Trolley","Trolley",0,2119.71894018086,8122.68796886707,9056.02754535161,0,0,431115.434162308,987901.050034558,2454.68490141426,0,21677.9801324682,0,c(-75.2886164869636, 39.9217177754443),24132.6650338825
"271",271,"Ferry Avenue","PATCO","PATCO","PATCO","Transit_Rail",0,2542.26720060771,12320.6705561794,58881.5893047019,5607.00007626954,0,252235.205222748,284948.748296698,68953.1234395184,24811.5935385974,47902.5577570093,0,c(-75.0916697511908, 39.9226852536206),141667.274735125
"272",272,"Frankford Transportation Center","Market/Frankford Line","SEPTA","MFL","Transit_Rail",0,29304.7608000653,42757.6711059566,20145.923428432,1006.67478358077,0,947681.78857583,14572.2108950891,15918.0775269737,0,0,0,c(-75.0780645511522, 40.0229160138085),15918.0775269737
"273",273,"40th Street","Market/Frankford Line","SEPTA","MFL","Transit_Rail",0,48235.5480878134,260943.310677712,0,0,10468.4363869981,643937.481917764,0,17669.075565427,27866.1987090368,0,1426.2004230452,c(-75.2019624820661, 39.957153415565),46961.474697509
"274",274,"Spring Garden","Broad Street Line","SEPTA","BSL","Transit_Rail",0,58986.9938447278,122211.453947486,0,602.471890670558,8996.05735957443,486103.399959023,0,118443.849349636,21880.0733035282,0,11111.0860225809,c(-75.1614208195424, 39.9624177633789),151435.008675745
"275",275,"46th Street","Market/Frankford Line","SEPTA","MFL","Transit_Rail",0,23628.3506135859,105187.814186343,0,872.58194234675,0,851882.610040721,0,76666.1066763532,2186.59553069105,3620.25356320255,2089.95000293916,c(-75.2140078008179, 39.9586666151986),84562.905773186
"276",276,"Garrett Hill","Norristown High Speed Line","SEPTA","NHSL","Light_Rail",0,3064.02563638187,76913.6490054956,1036.56645746944,0,0,277146.600496694,919327.74441042,0,2207.12716666576,51532.5358079995,0,c(-75.3362225703732, 40.0277877961634),53739.6629746653
"277",277,"North Philadelphia","Broad Street Line","SEPTA","BSL","Transit_Rail",0,38033.762382051,15711.1722345364,12254.9600656645,1518.06673843067,0,807641.779035751,0,141684.235446659,10039.7431295952,25900.9379261239,27219.6375295799,c(-75.1545130006472, 39.9941099992232),204844.554031958
"278",278,"Ardmore Avenue","Norristown High Speed Line","SEPTA","NHSL","Light_Rail",0,1341.55552029303,0,7349.77619542492,0,0,284289.560659052,823147.13613293,11336.9752691572,0,98590.8762751298,0,c(-75.3094879696392, 39.9999710453523),109927.851544287
"279",279,"Stadium (Ithan Avenue)","Norristown High Speed Line","SEPTA","NHSL","Light_Rail",0,3064.02563638187,420164.320096613,4757.34261231709,0,0,79858.1130460786,661710.936438128,7543.35359473739,0,8060.50883161897,0,c(-75.3407649720746, 40.0326902181679),15603.8624263564
"280",280,"Bridgeport","Norristown High Speed Line","SEPTA","NHSL","Light_Rail",0,3738.01078172242,11104.6042356016,3318.66575807309,1207.63018449585,0,331634.093572971,114557.554606942,35411.9046934082,0,270356.081435917,0,c(-75.3481762726585, 40.1048761083812),305767.986129326
"281",281,"New Britain","Lansdale/Doylestown Line","SEPTA","SEPTA_RR","Regional_Rail",0,0,0,1112.33727783763,0,0,0,1237879.66502466,54894.2826010109,0,220153.089831128,24288.2409801792,c(-75.1796647493447, 40.297489511674),299335.613412318
"282",282,"69th Street Transportation Center","Norristown High Speed Line","SEPTA","NHSL","Light_Rail",0,45448.3875927222,0,12074.0202173121,0,0,511299.606608454,35911.7769851538,37083.8255218531,2995.27988971883,460455.991717788,0,c(-75.2592801419407, 39.9626282514783),500535.09712936
"283",283,"Chinatown","Broad Street Line","SEPTA","BSL","Transit_Rail",0,157357.671561017,16045.9772601114,9540.79001001913,0,26297.0709817523,105761.055345123,0,52401.9377672089,11409.281871838,0,0,c(-75.1530192981869, 39.9555300646808),63811.2196390469
"284",284,"Norristown Transportation Center","Norristown High Speed Line","SEPTA","NHSL","Light_Rail",0,106266.774539755,6357.72885182984,20035.2097292558,2691.09352367554,0,273284.194015451,0,43932.0749429925,0,150548.887031108,0,c(-75.3453154341678, 40.1133279321177),194480.9619741
"285",285,"Township Line Road","Norristown High Speed Line","SEPTA","NHSL","Light_Rail",0,0,0,0,0,0,127222.811519799,678653.481621229,0,2386.41514125725,367897.913827169,0,c(-75.2815775961304, 39.9747683870699),370284.328968426
"286",286,"Ambler","Lansdale/Doylestown Line","SEPTA","SEPTA_RR","Regional_Rail",0,36244.4026771597,3608.92744253399,22602.8368582944,0,0,265538.111782074,567963.081448782,92304.3155630455,6499.97281953448,397795.095021786,0,c(-75.2248996720954, 40.1536580369935),496599.383404366
"287",287,"Berks","Market/Frankford Line","SEPTA","MFL","Transit_Rail",0,39318.8130581485,51784.5298743364,0,3391.93411828748,0,917436.358201908,0,93639.2088289927,4388.94818748965,0,0,c(-75.1335129517895, 39.9786359702259),98028.1570164823
"288",288,"Susquehanna-Dauphin","Broad Street Line","SEPTA","BSL","Transit_Rail",0,15015.9216155586,245448.829168231,0,1518.06673843067,3985.27571240156,892302.762310093,0,100344.611762446,4727.20577089231,10194.256144596,3628.10181744323,c(-75.1560405434832, 39.987084210834),118894.175495377
"289",289,"Erie","Broad Street Line","SEPTA","BSL","Transit_Rail",0,36903.5527581633,115581.670588223,0,0,0,933668.626254515,0,83440.7701454269,6618.92595923249,12805.9822812543,0,c(-75.1512005839765, 40.0092645270496),102865.678385914
"290",290,"Haverford","Norristown High Speed Line","SEPTA","NHSL","Light_Rail",0,0,295523.870486247,1671.52742168907,0,0,96340.4753836785,1102073.50371332,0,0,76341.2558756122,0,c(-75.3153229974501, 40.0100393050004),76341.2558756122
"291",291,"Miquon","Manayunk/Norristown Line","SEPTA","SEPTA_RR","Regional_Rail",0,0,13028.3797725455,1961.02944221562,0,0,0,195872.296937847,18455.3417047819,0,484307.684795732,204256.836120337,c(-75.266413652013, 40.0585570497951),707019.86262085
"292",292,"Villanova","Norristown High Speed Line","SEPTA","NHSL","Light_Rail",0,0,420164.320096613,4757.34261231709,0,0,0,1164703.22024865,10035.319972309,12776.9995770566,21122.4658968766,0,c(-75.3439691357386, 40.0340470768094),43934.7854462421
"293",293,"DeKalb Street","Norristown High Speed Line","SEPTA","NHSL","Light_Rail",0,0,11104.6042356016,8242.17788476314,0,0,188052.7760583,366279.683042239,104991.864983404,9959.49576363683,491813.174164275,0,c(-75.3520513379721, 40.0988566626012),606764.534911316
"294",294,"Berwyn","Paoli/Thorndale Line","SEPTA","SEPTA_RR","Regional_Rail",0,0,38743.1400748384,4340.71540535025,0,0,56332.2688398498,974539.091368655,10395.7959237005,4015.55989751411,40193.8601693096,0,c(-75.4424787416063, 40.0480950383989),54605.2159905243
"295",295,"Jenkintown-Wyncote","Glenside Combined","SEPTA","SEPTA_RR","Regional_Rail",0,6384.08181712325,19289.4579583479,18018.1674275098,0,0,269054.630415725,707934.368016953,5526.40082791221,5928.73909851678,78026.7363568723,0,c(-75.1377791141579, 40.0932206071381),89481.8762833013
"296",296,"8th Street","Market/Frankford Line","SEPTA","MFL","Transit_Rail",0,180425.140137531,56055.1460889368,9540.79001001913,1150.29118496028,26235.5764598895,254534.701060056,0,8536.87621033499,20137.0916097299,0,0,c(-75.1535613845338, 39.9510487420268),28673.9678200649
"297",297,"15th Street","Market/Frankford Line","SEPTA","MFL","Transit_Rail",0,119550.952285847,75406.0294601686,497.313882228068,0,23259.117653683,228489.380921562,0,17843.747837808,36123.632897461,0,0,c(-75.1653126249664, 39.9526048572777),53967.380735269
"298",298,"County Line","Norristown High Speed Line","SEPTA","NHSL","Light_Rail",0,0,196676.906855592,0,0,0,0,984000.632045594,15074.0429803332,0,350333.19081916,0,c(-75.3473400391624, 40.0501174349832),365407.233799493
"299",299,"Elkins Park","Glenside Combined","SEPTA","SEPTA_RR","Regional_Rail",0,8232.85932122573,49305.7170601088,2279.33233954618,0,0,142475.676155099,1157473.36115946,937.679616866592,0,63582.325809681,0,c(-75.1276710301245, 40.07123280203),64520.0054265476
"300",300,"Noble","West Trenton Line","SEPTA","SEPTA_RR","Regional_Rail",0,2969.39118013891,0,1946.38594020617,0,0,160283.231729751,1059748.05164655,81185.1123868482,0,159990.304901877,0,c(-75.1245054931917, 40.1043642478088),241175.417288725
"301",301,"Allegheny","Market/Frankford Line","SEPTA","MFL","Transit_Rail",0,68363.264385727,62042.4037157606,0,3581.17567165454,0,973268.815327493,0,18725.8277823567,0,0,0,c(-75.1134266160351, 39.9964885468142),18725.8277823567
"302",302,"Huntingdon","Market/Frankford Line","SEPTA","MFL","Transit_Rail",0,49994.8811395891,39301.0983316992,0,1870.68715148458,0,883044.695649214,0,109742.702298604,10827.6501797982,0,0,c(-75.1274182924271, 39.9887950873533),120570.352478402
"303",303,"Somerset","Market/Frankford Line","SEPTA","MFL","Transit_Rail",0,55095.874495428,51948.9192606286,0,0,0,912003.754167161,0,88093.6105326773,0,0,0,c(-75.1222737712967, 39.991623676369),88093.6105326773
"304",304,"60th Street","Market/Frankford Line","SEPTA","MFL","Transit_Rail",0,66970.5742243363,40791.7186659266,0,1738.27648205419,0,1131558.89779203,0,34935.3255816947,0,28619.6292727146,7435.05509121679,c(-75.2407096408004, 39.9619704483485),70990.0099456261
"305",305,"Ardmore Junction","Norristown High Speed Line","SEPTA","NHSL","Light_Rail",0,4255.16465041776,12576.8451861561,7349.77619542492,0,0,440549.661077787,815096.476650152,12847.5224713869,0,27571.5037700222,4384.08353104741,c(-75.3035194835356, 39.9961759864526),44803.1097724565
"306",306,"Glenside","Glenside Combined","SEPTA","SEPTA_RR","Regional_Rail",0,32342.1457951575,5813.69365700982,9609.19387650467,0,0,175760.950242316,1258535.26086208,1333.80581036448,0,26622.5126118316,0,c(-75.1537142929238, 40.1013438811895),27956.3184221961
