"","ID","station","line","operator","type_sym","type","com_lgret_ar","com_mx_ar","edu_ar","pkin_tran_ar","pkin_und_ar","resi_mx_ar","resi_multi_ar","resi_sigle_ar","under_gen_ar","under_trsit_ar","Wood_ar","Agri_ar","geometry","potential"
"64",64,"Swarthmore","Media/Elwyn Line","SEPTA","SEPTA_RR","Regional_Rail",0,9579.02682597617,442649.216657835,10812.1916531571,0,0,39451.7527659717,688614.77170322,14364.1247522564,23471.5712843185,602585.44921122,1628.46413646568,c(-75.3508923413999, 39.9023331819648),642049.60938426
"65",65,"Drexeline","Route 101 Trolley","SEPTA","Trolley","Trolley",0,0,21081.5268283646,2271.22747835077,1598.12384870665,0,174736.122187229,836479.908149628,994.523323100526,0,385255.904238191,0,c(-75.321462017155, 39.9448409879783),386250.427561291
"66",66,"Paoli","Paoli/Thorndale Line","SEPTA","SEPTA_RR","Regional_Rail",0,1812.16335110787,40700.5524397551,15797.611546085,0,0,173432.87369647,886067.183632474,15273.4311609944,7939.82211825088,418024.680346563,0,c(-75.4837576758152, 40.0429565479762),441237.933625808
"67",67,"Allegheny","Manayunk/Norristown Line","SEPTA","SEPTA_RR","Regional_Rail",0,40307.3769653249,40276.8659968533,0,2758.91105958746,0,837234.184945148,2105.23689114123,87351.7803073748,9928.11823277829,20838.8570486582,0,c(-75.165255482517, 40.003788771253),118118.755588811
"68",68,"Burlington South","RiverLine","NJ Transit","NJT_Riverline","Light_Rail",0,0,21969.0573922826,15102.4366518831,0,0,136699.681630964,318424.884685161,154562.055310166,0,11803.5921442601,0,c(-74.8690032909924, 40.0745803768005),166365.647454426
"69",69,"Holmesburg Junction","Trenton Line","SEPTA","SEPTA_RR","Regional_Rail",0,735.338006888067,17507.9423797045,4234.53091813687,2072.53957242805,0,338986.84538907,28441.0643494244,60538.7797714071,9287.14653322259,136538.031365957,0,c(-75.0238556833839, 40.0326493129511),206363.957670587
"70",70,"Airport Terminal E & F","Airport Line","SEPTA","SEPTA_RR","Regional_Rail",0,0,0,0,0,0,0,0,159107.850219837,0,0,0,c(-75.2400740585364, 39.8790205396976),159107.850219837
"71",71,"Hamilton Avenue","RiverLine","NJ Transit","NJT_Riverline","Light_Rail",0,60890.3151710859,14142.9341533613,16160.0507557725,0,0,681262.302725905,0,49693.4924757774,8204.41347134983,7270.52312607147,0,c(-74.7558067525938, 40.2119610020886),65168.4290731987
"72",72,"Secane","Media/Elwyn Line","SEPTA","SEPTA_RR","Regional_Rail",0,1226.80393508677,0,3673.87036564295,0,0,185501.297804875,1272865.2021944,9458.47504272945,0,221786.591567836,6569.42615938087,c(-75.3098469609155, 39.9157529909183),237814.492769946
"73",73,"Tulpehocken","Chestnut Hill West Line","SEPTA","SEPTA_RR","Regional_Rail",0,4556.66968112421,46317.5877675302,1820.67452595275,0,0,721997.87717177,301463.73201807,12767.7903786831,0,267362.305429542,1206.21069175216,c(-75.1869409635893, 40.0351218573737),281336.306499977
"74",74,"Penn Street","Route 102 Trolley","SEPTA","Trolley","Trolley",16804.2691290592,11910.0324029333,8122.68796886707,8850.32967923393,0,0,611944.958545664,459063.778035992,18755.0000831241,11943.3646581931,195200.968807677,0,c(-75.2920269314694, 39.9287727293681),225899.333548994
"75",75,"Bridesburg","Trenton Line","SEPTA","SEPTA_RR","Regional_Rail",0,3232.3075484552,151161.184456849,8621.22110238333,9049.23896469001,0,580696.650916865,0,8144.86061598328,8168.72258805595,2187.01438048725,0,c(-75.0698758587585, 40.0107133388728),18500.5975845265
"76",76,"Florence","RiverLine","NJ Transit","NJT_Riverline","Light_Rail",0,0,0,28606.1722881886,0,0,0,38061.3688016464,144155.650454245,254432.711663363,266284.516551063,440816.283212435,c(-74.8050609110162, 40.0999904181669),1105689.16188111
"77",77,"University City","Glenside Combined","SEPTA","SEPTA_RR","Regional_Rail",0,2677.65315413225,468112.360886939,0,6619.00879230903,0,186124.388870919,0,9001.78957731604,48214.8894103783,10971.6930558814,2291.74185878575,c(-75.1903272729299, 39.9478370774942),70480.1139023614
"78",78,"Baltimore Pike","Route 102 Trolley","SEPTA","Trolley","Trolley",16804.2691290592,11910.0324029333,2643.52203254107,7510.48756548849,0,0,688423.906987315,278266.083465808,18755.0000831241,11943.3646581931,245413.237005221,0,c(-75.2928938770321, 39.9312440674099),276111.601746538
"79",79,"Drexel Manor","Route 102 Trolley","SEPTA","Trolley","Trolley",0,12977.3740086269,19115.1718421286,0,0,0,632081.314509341,703899.864951442,2047.13785851044,0,163768.729746394,0,c(-75.2965263505193, 39.9422654496444),165815.867604904
"80",80,"Delanco","RiverLine","NJ Transit","NJT_Riverline","Light_Rail",0,0,24970.3616429376,1729.30832466879,0,0,22930.5171795734,790035.21786419,35593.8270098564,0,20666.0010739314,153639.716607314,c(-74.950353871806, 40.0480861026422),209899.544691102
"81",81,"Cheltenham","Fox Chase Line","SEPTA","SEPTA_RR","Regional_Rail",0,41498.3074849421,3884.1289882484,154.058326122994,0,0,722929.816437153,410818.185738172,19989.1115651808,25850.7595525087,91977.8818417192,0,c(-75.0928488971988, 40.0578721071381),137817.752959409
"82",82,"School Avenue","Route 101 Trolley","SEPTA","Trolley","Trolley",0,15805.4038242898,24153.1195814696,0,0,0,184991.208389277,1172079.52768626,2047.13785851044,0,0,0,c(-75.2998919094764, 39.9487162333886),2047.13785851044
"83",83,"Curtis Park","Wilmington/Newark Line","SEPTA","SEPTA_RR","Regional_Rail",0,1331.36951072213,42320.6048673406,1816.09325030508,0,0,447950.417740228,243435.630529463,21394.8226750961,0,164115.529965952,0,c(-75.2650075455212, 39.9080271450374),185510.352641048
"84",84,"East Falls","Manayunk/Norristown Line","SEPTA","SEPTA_RR","Regional_Rail",0,62524.7924355161,83449.9191317608,2507.16794192734,0,0,560079.565699671,122666.597528368,40736.4529735335,2858.84781533666,168940.244389214,1555.7637653241,c(-75.1920638641925, 40.0114202863473),214091.308943408
